game 2
ply 0|0000000000000000000000000000000000000000000000000000000|14 14 14 0|0 0 0 0|0 0 0 0|1|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 42|0000000000000000000000000000000000000000010000000000000|13 14 14 0|0 0 0 0|0 0 0 0|2|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 22|0000000000000000000002000000000000000000010000000000000|13 13 14 0|0 0 0 0|0 0 0 0|3|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 18|0000000000000000030002000000000000000000010000000000000|13 13 13 0|0 0 0 0|0 0 0 0|1|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 50 51 52 53 54 55
ply 50|0000000000000000030002000000000000000000010000000100000|12 13 13 0|0 0 0 0|0 0 0 0|2|0||1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 51 52 53 54 55
ply 14|0000000000000200030002000000000000000000010000000100000|12 12 13 0|0 0 0 0|0 0 0 0|3|0||1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 51 52 53 54 55
ply 12|0000000000030200030002000000000000000000010000000100000|12 12 12 0|0 0 0 0|0 0 0 0|1|0||1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 43 44 45 46 47 48 49 51 52 53 54 55
ply 39|0000000000030200030002000000000000000010010000000100000|11 12 12 0|0 0 0 0|0 0 0 0|2|0||1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 40 41 43 44 45 46 47 48 49 51 52 53 54 55
ply 34|0000000000030200030002000000000002000010010000000100000|11 11 12 0|0 0 0 0|0 0 0 0|3|0||1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 45 46 47 48 49 51 52 53 54 55
ply 3|0030000000030200030002000000000002000010010000000100000|11 11 11 0|0 0 0 0|0 0 0 0|1|0||1 2 4 5 6 7 8 9 10 11 13 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 45 47 48 49 51 52 53 54 55
ply 5|0030100000030200030002000000000002000010010000000100000|10 11 11 0|0 0 0 0|0 0 0 0|2|0||1 2 4 6 7 8 9 10 11 13 15 16 17 19 20 21 23 24 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 45 46 47 48 49 51 52 53 54 55
ply 23|0030100000030200030002200000000002000010010000000100000|10 10 11 0|0 0 0 0|0 0 0 0|3|0||1 4 6 7 8 9 10 11 13 15 16 17 19 20 21 24 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 45 46 47 48 49 51 52 53 54 55
ply 47|0030100000030200030002200000000002000010010000300100000|10 10 10 0|0 0 0 0|0 0 0 0|1|0||1 2 4 6 7 8 9 10 11 13 15 16 17 19 20 21 24 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 45 48 49 51 52 53 54 55
ply 24|0030100000030200030002210000000002000010010000300100000|9 10 10 0|0 0 0 0|0 0 0 0|2|0||1 2 4 6 7 8 9 10 11 13 15 16 17 19 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 45 46 48 49 51 52 53 54 55
ply 45|0030100000030200030002210000000002000010010020300100000|9 9 10 0|0 0 0 0|0 0 0 0|3|0||1 4 6 7 8 9 10 11 13 15 16 17 19 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 41 43 44 46 48 49 51 52 53 54 55
ply 19|0030100000030200033002210000000002000010010020300100000|9 9 9 0|0 0 0 0|0 0 0 0|1|0||1 2 4 6 7 8 9 10 11 13 15 17 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 48 49 51 52 53 54 55
ply 13|0030100000031200033002210000000002000010010020300100000|8 9 9 0|0 0 0 0|0 0 0 0|2|0||1 2 4 6 7 8 9 10 11 15 16 17 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 44 46 48 49 51 52 53 54 55
ply 44|0030100000031200033002210000000002000010010220300100000|8 8 9 0|0 0 0 0|0 0 0 0|3|0||1 4 6 7 8 9 10 11 15 16 17 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 41 43 46 48 49 51 52 53 54 55
ply 51|0030100000031200033002210000000002000010010220300130000|8 8 8 0|0 0 0 0|0 0 0 0|1|0||1 2 4 6 7 8 9 10 11 15 17 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 48 49 52 53 54 55
ply 4|0031100000031200033002210000000002000010010220300130000|7 8 8 0|0 0 0 0|0 0 0 0|2|0||1 2 6 7 8 9 10 11 15 16 17 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 40 41 43 46 48 49 52 53 54 55
ply 6|0031120000031200033002210000000002000010010220300130000|7 7 8 0|0 0 0 0|0 0 0 0|3|0||1 7 8 9 10 11 15 16 17 20 21 25 26 27 28 29 30 31 32 33 35 36 37 38 41 43 46 48 49 52 53 54 55
